Pertanyaan;Jawaban
Apa yang dimaksud komponen cadangan?;Komponen cadangan adalah Sumber Daya Nasional yang telah disiapkan untuk dikerahkan melalui mobilisasi guna memperbesar dan memperkuat kekuatan dan kemampuan Komponen Utama.
Apakah Komcad di persenjatai?;Meski prajurit komponen cadangan ini setelah mengikuti pelatihan tidak dipersenjatai, namum dalam proses latihan di Rindam, mereka berlatih menembak juga
Tes Komcad dimana?;Pendidikan Komcad Angkatan Udara bakal dilaksanakan di Wingdik 800/PASGAT di Bandung, Jawa Barat. Dulunya bernama Pusat Pendidikan dan Latihan Komando Pasukan Gerak Cepat.
Apakah Komcad digaji?;Dituliskan secara jelas bahwa Negara tidak mengeluarkan biaya untuk membayar gaji dan tunjangan lainnya kepada anggota komcad sebagaimana prajurit TNI.
Apa sih sebenarnya Komcad itu?;Merujuk UU NO 23 Tahun 2019 tentang pengelolaan sumber daya nasional untuk pertahanan negara Komcad atau Komponen Cadangan adalah sumber daya nasional yang telah disiapkan untuk dikerahkan melalui mobilisasi guna memperkuat kekuatan dan kemampuan komponen utama (TNI).
apa keuntungan menjadi komcad?;Komcad memungkinkan memperbesar dan memperkuat Komponen Utama (TNI) secara efisien tanpa harus memperbesar kekuatan TNI yang membutuhkan anggaran jauh lebih besar.
Bagaimana status setelah selesai pelatihan?;Setelah selesai pelatihan dan dinyatakan lulus, mereka akan ditetapkan secara resmi sebagai anggota Komcad dan bisa kembali ke profesi awalnya sebagai warga negara sipil.
Tes apa saja untuk Komcad?;Dalam Tes Kesehatan 2 seluruh peserta wajib mengikuti Tes Darah , EKG dan Radiologi (Rontgen). Tes Darah dilaksanakan pada pagi hari di Kodikmar, kemudian tes EKG di Gedung R.E. Martadinata Kodiklatal, dan Rontgen di Satuan Kesehatan (Satkes) Kodiklatal.
Apakah menjadi komponen cadangan dapat gaji?;Besarannya! Menjadi Komcad, maka anggota menerima sejumlah benefit, antara lain uang saku, tunjangan operasi, rawatan kesehatan, jaminan keselamatan kerja, hingga penghargaan
Apa saja tugas Komcad?;Komcad berbeda dengan TNI yang merupakan angkatan bersenjata negara Indonesia yang berperan sebagai alat negara di bidang pertahanan, Komcad berfungsi untuk memperkuat Komponen Utama.
Kapan dibuka pendaftaran Komcad 2023?;Dikutip dari Instagram resmi Direktorat Jenderal Potensi Pertahanan Kemhan RI @ditjenpothan, pendaftaran dibuka mulai 2 Januari hingga 14 April 2023.
Kapan pendaftaran Komcad di tutup?;Pemerintah pusat melalui Kementerian Pertahanan kembali membuka pendaftaran pembentukan Komponen Cadangan (Komcad). Pendaftaran sudah dibuka sejak 2 Januari lalu dan akan ditutup 14 April mendatang
Apakah Komcad bisa jadi PNS?;Sebelumnya keputusan ASN dan PNS bisa masuk dalam Komcad tertuang dalam Surat Edaran Menteri PANRB Nomor 27 Tahun 2021 tentang Peran Serta Pegawai ASN sebagai Komponen Cadangan Dalam Mendukung Upaya Pertahanan Negara yang diteken Tjahjo Kumolo pada 27 Desember.
Komcad ada berapa pangkat?;Selamat memahami ketika Menteri Pertahanan Prabowo Subianto memberikan penghargaan kepada Deddy sebagai duta Komponen Cadangan (Komcad) pada Oktober 2021. Ia menambahkan, Komcad berbeda dengan pangkat tituler. “Pangkat tertinggi Komcad itu hanya kapten. Mengapa Deddy diberikan pangkat letkol tituler?
Berapa lama masa kerja Komcad?;Masa Latihan /Pendidikan Kemiliteran selama 3 bulan, apakah cukup menjaga konsistensi Kemampuan Komcad, ketika sesudahnya mereka harus kembali ke profesinya masing masing? Kemampuan anggota Komcad harus selalu dijaga sampai masa baktinya pada usia 48 tahun.
Berapa lama masa dinas Komcad?;Masa pengabdian Komcad ada masa aktif dan tidak aktif. Masa aktif, yaitu saat mengikuti pelatihan dan penyegaran dimana pelatihan penyegaran setiap tahun selama maksimal 90 hari dan minimal 12 hari. Sementara masa tidak aktif, yaitu setelah selesai masa aktif dan kembali ke profesi semula.
Baret Komcad warna apa?;Personel Komcad dibekali baret berwarna hijau yang hampir mirip dengan Korps Infanteri.
Apakah Komcad dapat gaji tiap bulan?;PNS Daftar Komcad Dapat Uang Saku & Gaji, Nih Besarannya! Menjadi Komcad, maka anggota menerima sejumlah benefit, antara lain uang saku, tunjangan operasi, rawatan kesehatan, jaminan keselamatan kerja, hingga penghargaan.
Komcad di tempatkan dimana?;Batalyon-Batalyon Komcad akan ditempatkan di daerah-daerah yang tidak memiliki satuan TNI setingkat Kodim dengan tujuan sebagai pelapis dan pendukung kekuatan utama.
Berapa kuota Komcad 2023?;Sosialisasi yang dilakukan Kemenhan RI minggu lalu tersebut terhubung ke seluruh jajaran Makodam I/Bukit Barisan, dimana rencananya pembentukan Komcad tersebut untuk kuota 500 orang dan seleksi akan diadakan ditingkat daerah dimulai pada tanggal 2 Januari sampai 14 April 2023.
Berapa jumlah komponen cadangan TNI?;Pada gelombang pertama di 2021 berjumlah 3.103 orang, gelombang kedua di 2022 berjumlah 2.974 orang dan di tahun 2023 sebanyak 2.497 orang. Maka sejak 2021 sampai dengan 2023, jumlah Komcad yang sudah ditetapkan sebanyak 8.574 orang.
Apakah seragam Komcad di bawa pulang?;Namun atribut tersebut itu tidak diperkenankan dibawa pulang, melainkan disimpan atau dititipkan di Kodim setempat.
Siapa saja yang masuk dalam komponen cadangan?;Komponen cadangan terdiri dari matra darat, matra laut, dan matra udara yang selalu siap pada saat dibutuhkan melalui mobilisasi. dan dapat digerakkan oleh Presiden pada waktu perang atau keadaan darurat nasional, dengan izin Dewan Perwakilan Rakyat.
Komcad 2023 syaratnya apa saja?;Syarat Pendaftaran Komcad 2023, Sehat Jasmani dan Rohani. Beriman dan bertakwa kepada tuhan yang maha esa. Setia kepada NKRI yang berdasarkan pancasila dan UUD Negara Republik Indonesia. Setia kepada NKRI yang berdasarkan pancasila dan UUD Negara Republik Indonesia. Berusia 18 - 35 Tahun. Tidak memiliki catatan kriminal. Bukan anggota atau mantan TNI/Polri. Berijazah minimal SMP/Sederajat.
Kapan jadwal seleksi Komcad 2023?;Pendaftaran online: 2 Januari - 14 April 2023, Seleksi administratif: 17 - 25 April 2023, Seleksi kompetensi 26 April - 5 Mei 2023, Pantukhir (Pemantauan Akhir): 5 Mei 2023, Latmasrmil (Latihan Dasar Militer) : 8 Mei - 5 Agustus 2023.
