Pertanyaan;Jawaban
Apa yang dimaksud komponen cadangan?;Komponen cadangan adalah Sumber Daya Nasional yang telah disiapkan untuk dikerahkan melalui mobilisasi guna memperbesar dan memperkuat kekuatan dan kemampuan Komponen Utama.
Tes Komcad dimana?;Pendidikan Komcad Angkatan Udara bakal dilaksanakan di Wingdik 800/PASGAT di Bandung, Jawa Barat. Dulunya bernama Pusat Pendidikan dan Latihan Komando Pasukan Gerak Cepat.
Apakah Komcad digaji?;Dituliskan secara jelas bahwa Negara tidak mengeluarkan biaya untuk membayar gaji dan tunjangan lainnya kepada anggota komcad sebagaimana prajurit TNI.
apa keuntungan menjadi komcad?;Komcad memungkinkan memperbesar dan memperkuat Komponen Utama (TNI) secara efisien tanpa harus memperbesar kekuatan TNI yang membutuhkan anggaran jauh lebih besar.
Bagaimana status setelah selesai pelatihan?;Setelah selesai pelatihan dan dinyatakan lulus, mereka akan ditetapkan secara resmi sebagai anggota Komcad dan bisa kembali ke profesi awalnya sebagai warga negara sipil.
Tes apa saja untuk Komcad?;Dalam Tes Kesehatan 2 seluruh peserta wajib mengikuti Tes Darah , EKG dan Radiologi (Rontgen). Tes Darah dilaksanakan pada pagi hari di Kodikmar, kemudian tes EKG di Gedung R.E. Martadinata Kodiklatal, dan Rontgen di Satuan Kesehatan (Satkes) Kodiklatal.
Apa saja tugas Komcad?;Komcad berbeda dengan TNI yang merupakan angkatan bersenjata negara Indonesia yang berperan sebagai alat negara di bidang pertahanan, Komcad berfungsi untuk memperkuat Komponen Utama.
Kapan dibuka pendaftaran Komcad 2023?;Dikutip dari Instagram resmi Direktorat Jenderal Potensi Pertahanan Kemhan RI @ditjenpothan, pendaftaran dibuka mulai 2 Januari hingga 14 April 2023.
Kapan pendaftaran Komcad di tutup?;Pemerintah pusat melalui Kementerian Pertahanan kembali membuka pendaftaran pembentukan Komponen Cadangan (Komcad). Pendaftaran sudah dibuka sejak 2 Januari lalu dan akan ditutup 14 April mendatang
Berapa kuota Komcad 2023?;Sosialisasi yang dilakukan Kemenhan RI minggu lalu tersebut terhubung ke seluruh jajaran Makodam I/Bukit Barisan, dimana rencananya pembentukan Komcad tersebut untuk kuota 500 orang dan seleksi akan diadakan ditingkat daerah dimulai pada tanggal 2 Januari sampai 14 April 2023.
Komcad 2023 syaratnya apa saja?;Syarat Pendaftaran Komcad 2023, Sehat Jasmani dan Rohani. Beriman dan bertakwa kepada tuhan yang maha esa. Setia kepada NKRI yang berdasarkan pancasila dan UUD Negara Republik Indonesia. Setia kepada NKRI yang berdasarkan pancasila dan UUD Negara Republik Indonesia. Berusia 18 - 35 Tahun. Tidak memiliki catatan kriminal. Bukan anggota atau mantan TNI/Polri. Berijazah minimal SMP/Sederajat.
Kapan jadwal seleksi Komcad 2023?;Pendaftaran online: 2 Januari - 14 April 2023, Seleksi administratif: 17 - 25 April 2023, Seleksi kompetensi 26 April - 5 Mei 2023, Pantukhir (Pemantauan Akhir): 5 Mei 2023, Latmasrmil (Latihan Dasar Militer) : 8 Mei - 5 Agustus 2023.
Dimana tempat daftar Komcad?;Pendaftaran Komcad 2023 ini dibuka untuk umum dengan registrasi melalui website komcad.kemhan.go.id
